month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-08-01,A DIVISION,1,offpeak,4578130,1.015628,0.684556,4649674,3133985,551607.4,12.0488,87.9512
2024-08-01,A DIVISION,1,peak,4465300,1.076029,0.613397,4804792,2739002,464934.4,10.4122,89.5878
2024-08-01,A DIVISION,2,offpeak,2811580,1.678233,0.559091,4718486,1571929,501969.6,17.8536,82.1464
2024-08-01,A DIVISION,2,peak,2982010,1.653396,0.538316,4930444,1605264,428575,14.372,85.628
2024-08-01,A DIVISION,3,offpeak,2096369,1.065008,0.268635,2232650,563157.2,258259.7,12.3194,87.6806
2024-08-01,A DIVISION,3,peak,2329676,1.155437,0.478427,2691794,1114580,287821.2,12.3546,87.6454
2024-08-01,A DIVISION,4,offpeak,3738076,0.948534,0.365591,3545691,1366607,486598.4,13.0173,86.9827
2024-08-01,A DIVISION,4,peak,3530318,0.966057,0.290031,3410489,1023903,409779.8,11.6074,88.3926
2024-08-01,A DIVISION,5,offpeak,2500089,1.223283,0.498121,3058316,1245347,352190.7,14.0871,85.9129
2024-08-01,A DIVISION,5,peak,3027575,1.166189,0.026277,3530725,79555.69,346905.8,11.4582,88.5418
2024-08-01,A DIVISION,6,offpeak,4710407,1.11901,0.568498,5270994,2677855,552664.2,11.7328,88.2672
2024-08-01,A DIVISION,6,peak,4802319,1.232982,0.773979,5921172,3716892,612813.7,12.7608,87.2392
2024-08-01,A DIVISION,7,offpeak,4049921,1.608347,0.557782,6513676,2258974,535949.3,13.2336,86.7664
2024-08-01,A DIVISION,7,peak,3993039,1.153015,0.471858,4604035,1884148,381990,9.5664,90.4336
2024-08-01,A DIVISION,S 42nd,offpeak,283886.7,0.558112,-0.1105,158440.5,-31369.9,7615.3,2.6825,97.3175
2024-08-01,A DIVISION,S 42nd,peak,318235.8,0.426729,-0.10258,135800.5,-32645.7,1269,0.3988,99.6012
2024-08-01,B DIVISION,A,offpeak,3537290,1.286981,0.825914,4552426,2921499,756244.7,21.3792,78.6208
2024-08-01,B DIVISION,A,peak,4007415,1.06736,0.543256,4277355,2177054,628780.9,15.6904,84.3096
2024-08-01,B DIVISION,B,offpeak,2234311,1.607902,1.109278,3592552,2478473,526582.2,23.568,76.432
2024-08-01,B DIVISION,B,peak,2607577,1.622026,0.755802,4229558,1970812,554085.3,21.249,78.751
2024-08-01,B DIVISION,C,offpeak,2379669,1.678375,0.614142,3993977,1461454,460991.4,19.3721,80.6279
2024-08-01,B DIVISION,C,peak,1784528,1.610699,0.44035,2874339,785816.7,309269.2,17.3306,82.6694
2024-08-01,B DIVISION,D,offpeak,2615125,1.690125,1.069031,4419887,2795650,656646,25.1096,74.8904
2024-08-01,B DIVISION,D,peak,2322085,1.408968,0.674974,3271744,1567347,467841.4,20.1475,79.8525
2024-08-01,B DIVISION,E,offpeak,3352950,1.330372,0.512999,4460672,1720061,554536,16.5387,83.4613
2024-08-01,B DIVISION,E,peak,3465620,0.989426,-0.66491,3428974,-2304321,299184.7,8.6329,91.3671
2024-08-01,B DIVISION,F,offpeak,4303287,1.87696,0.387276,8077098,1666561,932968.8,21.6804,78.3196
2024-08-01,B DIVISION,F,peak,4308669,1.426774,-0.52787,6147495,-2274423,563247,13.0724,86.9276
2024-08-01,B DIVISION,G,offpeak,522395,1.143287,0.781344,597247.2,408170,58778.4,11.2517,88.7483
2024-08-01,B DIVISION,G,peak,524517.5,0.781921,0.56441,410131.4,296043.2,55884.9,10.6545,89.3455
2024-08-01,B DIVISION,JZ,offpeak,1368783,1.504762,0.914694,2059692,1252018,301103.1,21.9979,78.0021
2024-08-01,B DIVISION,JZ,peak,1284552,1.296521,0.384389,1665450,493767.9,220227.9,17.1443,82.8557
2024-08-01,B DIVISION,L,offpeak,2672747,1.167814,0.634224,3121272,1695120,276683.3,10.352,89.648
2024-08-01,B DIVISION,L,peak,2481120,1.522006,0.655828,3776278,1627187,219631.3,8.8521,91.1479
2024-08-01,B DIVISION,M,offpeak,1685000,2.257695,0.520091,3804217,876352.7,402825.6,23.9066,76.0934
2024-08-01,B DIVISION,M,peak,1733388,1.856346,0.047949,3217767,83113.78,337806.7,19.4882,80.5118
2024-08-01,B DIVISION,N,offpeak,2586528,1.497023,0.894099,3872092,2312613,545286.7,21.0818,78.9182
2024-08-01,B DIVISION,N,peak,2595183,1.277823,0.248973,3316185,646131.6,384906.9,14.8316,85.1684
2024-08-01,B DIVISION,Q,offpeak,3083345,1.422264,0.752133,4385330,2319086,658210.4,21.3473,78.6527
2024-08-01,B DIVISION,Q,peak,3069828,1.289809,0.568407,3959493,1744913,541476.1,17.6386,82.3614
2024-08-01,B DIVISION,R,offpeak,3336724,1.928883,0.282795,6436149,943609.7,744573.2,22.3145,77.6855
2024-08-01,B DIVISION,R,peak,3385843,1.471931,-0.06898,4983727,-233562,524603,15.494,84.506
2024-08-01,B DIVISION,S Fkln,offpeak,133339.1,0.479749,0.023104,63969.34,3080.694,5203.6,3.9025,96.0975
2024-08-01,B DIVISION,S Fkln,peak,114238.9,0.442639,-0.01163,50566.6,-1328.23,4802.2,4.2036,95.7964
2024-08-01,B DIVISION,S Rock,offpeak,40778.5,1.473934,-0.65451,60104.84,-26690,5650.8,13.8573,86.1427
2024-08-01,B DIVISION,S Rock,peak,25435.5,0.546569,-1.38214,13902.26,-35155.3,1965.2,7.7262,92.2738
2024-08-01,B DIVISION,W,offpeak,1289576,1.081139,0.402179,1394211,518640.2,169196,13.1203,86.8797
2024-08-01,B DIVISION,W,peak,1368414,0.792953,-0.19687,1085088,-269398,105823.9,7.7333,92.2667
2024-08-01,Systemwide,Systemwide,Systemwide,120000000,1.343241,0.452824,162000000,54536881,18455960,15.3241,84.6759
2024-07-01,A DIVISION,1,offpeak,4804193.1,1.167348384,0.708647929,5608167.054,3404481.492,627982.1,13.0715416,86.9284584
2024-07-01,A DIVISION,1,peak,5215829.5,1.184503344,0.701971885,6178167.483,3661365.665,627537.3,12.0313998,87.9686002
2024-07-01,A DIVISION,2,offpeak,3118063.1,1.390461552,0.506116223,4335546.857,1578102.32,534693.4,17.1482546,82.8517454
2024-07-01,A DIVISION,2,peak,3539922.6,1.271281374,0.290770106,4500237.668,1029303.669,447220.9,12.633635,87.366365
2024-07-01,A DIVISION,3,offpeak,2348329.4,1.085685505,0.343484546,2549547.19,806614.858,293170.1,12.4841983,87.5158017
