Project Number,Project Number Sequence,Plan Series,Capital Plan,Agency Name,Category Description,Element Description,Project Description,Latitude,Longitude,Location Indicator,Location
ET060234,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMENT REPAIRS: SANDY,Recovery: Pump Room (Clark Tube),40.701059,-74.002745,base,"(40.701059, -74.002745)"
ET090238,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACTION POWER,TRACTION POWER REPAIRS: SANDY,Recovery: Substation (53 Street Tube),40.752262,-73.958245,base,"(40.752262, -73.958245)"
ET120307,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,DEPOTS,DEPOTS MITIGATION: SANDY,Mitigation: Various Bus Depots,40.753934,-73.843876,multilocation,"(40.753934, -73.843876)"
M7050106,1,7,Capital Plan 2015 - 2019,Metro-North Railroad,POWER,POWER,Traction Power Substation Improvement DES,40.9129,-73.81025,base,"(40.9129, -73.81025)"
T5060302,2,5,Capital Plan 2005 - 2009,New York City Transit,LINE EQUIPMENT,VENTILATION FACILITIES,Fan Wrap-up work - Archer Avenue Line,40.707709,-73.802773,multilocation,"(40.707709, -73.802773)"
T5070318,1,5,Capital Plan 2005 - 2009,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Rockaway Viaduct Phase 2,40.607977,-73.815781,base,"(40.607977, -73.815781)"
T6041409,2,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,OTHER STATION IMPROVEMENTS,Church Street Corridor Improvements,40.71064,-74.011004,multilocation,"(40.71064, -74.011004)"
T7080620,46,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 49 Stations,40.878881,-73.838421,multilocation,"(40.878881, -73.838421)"
T7160717,12,7,Capital Plan 2015 - 2019,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Refurbish Keene Vacuum Systems,40.574103,-74.165613,multilocation,"(40.574103, -74.165613)"
T7160727,1,7,Capital Plan 2015 - 2019,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Replacement of Roof at Tiffany Central Warehouse,40.807291,-73.891251,base,"(40.807291, -73.891251)"
T8041212,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Other Station Work,40.751394,-73.975835,multilocation,"(40.751394, -73.975835)"
T60412I9,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Painting at Wilson Avenue on the Canarsie Line,40.688758,-73.904096,base,"(40.688758, -73.904096)"
ET080206,3,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,SIGNALS & COMMUNICATIONS,SIGNAL/COMM REPAIRS: SANDY,Recovery: Signals in Under River Tubes - Design Only,40.707271,-73.989383,multilocation,"(40.707271, -73.989383)"
G6090123,1,6,Capital Plan 2010 - 2014,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA: Harold Structures - Part 3A,40.748102,-73.929899,base,"(40.748102, -73.929899)"
D701AW98,2,7,Capital Plan 2015 - 2019,Bridges And Tunnels,STRUCTURES,AGENCY-WIDE,Design development and study for Phase II - Tunnel Improvements and Modernization of the Brooklyn-Battery (Hugh L. Carey) and Queens Midtown Tunnels,40.742036,-73.952193,multilocation,"(40.742036, -73.952193)"
T8080318,2,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,SIGNAL MODERNIZATION,SigMod: Queens Blvd East and 3 Interlockings (Hillside) - Install,40.707461,-73.803709,multilocation,"(40.707461, -73.803709)"
T6041304,31,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,Improve Horizontal and Vertical Platform Clearance at Various Locations,40.7018459,-73.9193729,multilocation,"(40.7018459, -73.9193729)"
T6120321,1,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT REHAB AND RECONSTRUCTION,Facade Repair and Window Replacement at East New York Bus Depot - Design Only,40.678122,-73.899624,base,"(40.678122, -73.899624)"
T8080660,24,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,COMMUNICATION SYSTEMS,Comm Room Upgrade: APC Replacement,40.662518,-73.908975,multilocation,"(40.662518, -73.908975)"
L8020413,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,STATIONS,STATIONS AND BUILDINGS,ADA Copiague Station,40.6810164,-73.3983404,base,"(40.6810164, -73.3983404)"
T5079901,2,5,Capital Plan 2005 - 2009,New York City Transit,LINE STRUCTURES,ARRA LINE STRUCTURE PROJECTS,Structural Rehabilitation 63rd Street to Bay 50th Street - West End Line,40.597927,-73.987218,multilocation,"(40.597927, -73.987218)"
T8120406,11,8,Capital Plan 2020 - 2024,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Automated Fuel Management System Upgrade: 15 Depots,40.600539,-74.195843,multilocation,"(40.600539, -74.195843)"
G8110106,1,8,Capital Plan 2020 - 2024,Capital Construction Company,PENN STATION ACCESS,PENN STATION ACCESS,Penn Station Access: Power,40.840898,-73.86141,base,"(40.840898, -73.86141)"
T6080655,1,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at Woodhaven Boulevard Station on the Queens Boulevard Line,40.733571,-73.870376,base,"(40.733571, -73.870376)"
T6080623,1,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Passenger Station Local Area Network at 68 Stations,40.764731,-73.980614,multilocation,"(40.764731, -73.980614)"
T7080345,10,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Mainline Switch Replacement at Kings Highway Interlocking on the Culver Line,40.601517,-73.972645,multilocation,"(40.601517, -73.972645)"
T7080640,1,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.676977,-73.898783,multilocation,"(40.676977, -73.898783)"
